weeks,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
17,1961,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,285120
17,1961,0.867,0.695,1,-4.715,0,0.0618,0.102,0.000366,0.104,0.587,120.025,213505
17,1961,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,547733
17,1961,,,,,,,,,,,,
17,1961,0.827,0.928,7,-7.266,1,0.133,0.332,0,0.0576,0.261,115.023,373293
17,1961,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827
17,1961,0.785,0.776,2,-5.259,1,0.0312,0.729,0,0.181,0.967,121.505,148040
17,1961,0.572,0.392,9,-10.555,1,0.0325,0.778,0.000435,0.15,0.381,128.255,132040
17,1961,0.368,0.27,4,-8.344,1,0.0272,0.905,0.863,0.234,0.232,70.391,193107
17,1961,0.752,0.505,9,-7.621,1,0.253,0.535,2.55E-06,0.104,0.419,91.97,197437
16,1961,0.608,0.594,2,-11.86,1,0.0435,0.32,4.75E-05,0.129,0.789,125.166,174293
16,1961,,,,,,,,,,,,
16,1961,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32E-05,0.273,0.64,120.023,178000
16,1961,0.651,0.691,11,-7.991,1,0.0831,0.144,0,0.241,0.624,140.273,224732
16,1961,0.453,0.609,8,-6.662,1,0.0296,0.00868,3.43E-05,0.0797,0.96,77.36,147427
16,1961,0.336,0.231,1,-6.217,1,0.0497,0.942,0,0.188,0.429,168.685,37640
16,1961,0.352,0.468,10,-9.412,1,0.0313,0.304,0,0.462,0.638,71.858,135093
16,1961,0.686,0.658,11,-5.184,0,0.317,0.0254,0,0.279,0.5,77.44,140467
16,1961,0.467,0.848,9,-3.063,0,0.0716,0.0617,0,0.29,0.674,170.038,205752
16,1961,0.552,0.7,7,-4.533,1,0.0295,0.809,0,0.805,0.901,132.005,170760
16,1961,,,,,,,,,,,,
16,1961,0.222,0.757,0,-10.656,0,0.0832,0.694,0.954,0.0721,0.0651,105.471,201600
16,1961,0.941,0.387,9,-11.92,1,0.0427,0.184,2.88E-05,0.157,0.965,125.021,207340
16,1961,0.655,0.77,2,-6.338,1,0.0649,0.626,0,0.541,0.9,105.394,138893
16,1961,0.647,0.336,3,-8.517,1,0.0645,0.8,0,0.0719,0.905,164.249,121600
16,1961,0.599,0.512,1,-8.072,1,0.0358,0.297,1.38E-05,0.0688,0.136,118.003,155773
16,1961,0.496,0.832,9,-5.655,1,0.0443,0.0262,0,0.421,0.417,198.008,244926
15,1961,0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977,160240
15,1961,0.531,0.633,0,-7.669,1,0.0309,0.43,0.000318,0.105,0.259,115.963,282042
15,1961,0.572,0.418,0,-10.738,1,0.0349,0.635,0,0.0961,0.694,104.566,165000
15,1961,0.753,0.766,7,-5.577,1,0.0977,0.538,0.149,0.0585,0.976,125.502,137504
15,1961,0.476,0.177,7,-14.822,1,0.0284,0.863,0.866,0.0922,0.539,100.928,145493
15,1961,,,,,,,,,,,,
39,1962,0.571,0.618,4,-5.682,1,0.0371,0.18,2.69E-06,0.178,0.852,156.892,155040
28,1962,0.483,0.58,10,-5.677,1,0.0442,0.222,2.32E-06,0.0946,0.208,85.221,183893
26,1962,0.24,0.116,0,-13.216,1,0.0329,0.877,0.00092,0.1,0.0937,77.349,188324
23,1962,0.442,0.446,4,-9.906,1,0.0289,0.845,0,0.119,0.55,83.06,144093
23,1962,0.785,0.776,2,-5.259,1,0.0312,0.729,0,0.181,0.967,121.505,148040
23,1962,,,,,,,,,,,,
21,1962,0.257,0.311,3,-13.248,1,0.0334,0.789,0.781,0.0778,0.211,142.385,201960
21,1962,0.436,0.893,9,-4.18,0,0.0556,0.000362,0,0.103,0.0794,124.113,226680
21,1962,0.313,0.078,0,-17.583,1,0.0332,0.955,4.48E-06,0.169,0.125,128.065,170960
19,1962,0.74,0.911,10,-4.149,0,0.0865,0.0138,0.46,0.122,0.876,115.828,206613
19,1962,0.428,0.535,7,-6.423,1,0.0316,0.599,5.08E-05,0.0623,0.68,120.495,174000
19,1962,0.733,0.334,1,-11.314,1,0.0811,0.327,0,0.116,0.267,119.935,319973
18,1962,,,,,,,,,,,,
